incomeperperson;internetuserate;urbanrate
;3.654.121.623;24.04
1.914.996.551;4.498.994.696;46.72
2.231.993.335;1.250.007.331;65.22
219.433.399;81;88.92
1.381.004.268;9.999.953.883;56.7
1.189.446.407;8.064.545.455;30.46
1.074.941.924;3.600.033.495;92
1.326.741.757;4.400.102.458;63.86
;4.180.088.889;46.78
2.524.998.606;758.956.538;88.74
2.669.298.411;7.273.157.554;67.16
2.344.896.916;4.667.970.157;51.92
1.963.054.055;4.298.458.017;83.7
1.250.521.254;5.499.280.903;88.52
5.580.628.766;370.000.326;27.14
9.243.587.053;7.002.859.927;39.84
2.737.670.379;3.205.214.391;73.46
2.449.604.826;7.373.393.447;97.36
3.545.652.174;1.264.573.333;51.7
3.770.396.995;3.129.961.803;41.2
6.268.214.701;8.465.451.409;100
1.324.194.906;1.359.887.603;34.48
1.232.794.137;2.000.171.014;65.58
2.183.344.867;5.200.206.064;47.44
4.189.436.587;5.999.835.575;59.58
4.699.411.262;40.650.098;85.58
17092.46;4.998.997.494;74.82
2.549.558.474;4.598.658.991;71.1
276.200.413;14.000.607;19.56
1.153.059.959;2.100.212.706;10.4
5.579.475.126;1.259.933.609;21.56
7.136.393.027;3.999.977.346;56.76
2.557.535.262;8.133.839.269;80.4
1.959.844.472;2.999.993.952;59.62
;66;100
2.395.187.494;2.300.026.653;38.58
2.758.842.865;1.700.031.496;26.68
6.334.105.194;45;88.44
2.425.471.293;3.437.778.952;43.1
323.342.378;3.649.987.464;74.5
3.363.687.495;5.098.265.306;28.08
1.037.758.572;0.720008677;33.96
1.253.292.015;4.999.875.093;61.34
;;
5.188.900.935;3.649.911.472;63.26
5.910.679.443;2.599.973.655;48.78
6.338.494.668;6.011.970.702;57.28
4.495.046.262;1.589.997.034;75.66
1.531.385.935;5.302.474.483;69.9
7.381.312.751;6.863.813.347;73.5
3.053.227.704;8.877.025.387;86.68
8.953.183.396;649.792.351;87.3
614.777.961;4.728.043.603;73.92
4.049.169.629;3.953.127.426;69.02
1.728.020.976;2.899.947.674;65.58
1.975.551.906;2.674.002.538;42.72
2.557.433.638;1.589.998.203;60.7
8.654.536.845;6.003.437.143;39.38
131.796.207;5.399.666.997;20.72
6.238.537.506;741.630.403;69.46
2.208.912.479;0.74999585;17
;75.2;41.42
2.230.676.374;1.483.073.588;52.36
2.711.073.159;8.689.884.451;63.3
2.287.846.657;7.749.861.935;77.36
;4.895.732.841;51.64
4.180.765.821;7.232.224.246;85.04
3.545.997.263;9.196.775.477;56.42
1.258.762.596;2.629.725.148;52.74
2.530.618.719;8.252.689.791;73.64
3.589.795.398;9.549.930.701;50.02
;65;
1.357.787.989;4.457.007.444;61
2.075.189.342;6.384.915.272;83.52
5.330.401.612;3.361.668.288;30.84
;;
;;93.16
1.860.753.895;1.049.994.819;48.58
4.115.014.473;0.999958926;34.44
1.613.171.371;2.450.362.244;29.84
1.200.652.075;2.987.992.146;28.38
3.714.241.975;8.370.206.884;46.84
1.392.411.829;1.109.076.463;47.88
3.553.607.247;7.184.912.394;100
5.634.003.948;6.516.325.092;67.5
3.394.531.442;9.563.811.321;92.26
7.867.000.981;7.499.995.878;29.54
1.143.831.514;9.900.038.672;51.46
216.154.651;1.300.011.072;68.46
7.362.680.538;2.471.948.347;66.6
2.759.509.135;6.977.039.441;61.34
2.227.575.166;6.538.778.594;91.66
1.898.226.929;537.402.166;68.08
3.665.348.369;2.647.722.324;53.3
3.930.947.886;7.763.853.515;66.48
253.400.038;3.888.120.159;78.42
2.481.718.918;3.338.212.816;57.94
4.686.960.436;258.997.967;21.6
